table_name,column_name,data_type,is_nullable,column_default
categories,id,uuid,NO,gen_random_uuid()
categories,store_id,uuid,YES,null
categories,name,character varying,NO,null
categories,description,text,YES,null
categories,image_url,text,YES,null
categories,sort_order,integer,YES,0
categories,is_active,boolean,YES,true
categories,created_at,timestamp with time zone,YES,now()
categories,updated_at,timestamp with time zone,YES,now()
checkout_sessions,id,uuid,NO,gen_random_uuid()
checkout_sessions,external_reference,uuid,NO,gen_random_uuid()
checkout_sessions,store_id,uuid,NO,null
checkout_sessions,items,jsonb,YES,null
checkout_sessions,order_data,jsonb,YES,null
checkout_sessions,subtotal,numeric,YES,null
checkout_sessions,delivery_fee,numeric,YES,null
checkout_sessions,total,numeric,YES,null
checkout_sessions,preference_id,text,YES,null
checkout_sessions,preference_payload,jsonb,YES,null
checkout_sessions,init_point,text,YES,null
checkout_sessions,status,text,YES,'pending'::text
checkout_sessions,payment_status,USER-DEFINED,YES,'pending'::payment_status
checkout_sessions,payment_id,text,YES,null
checkout_sessions,order_id,uuid,YES,null
checkout_sessions,processed_at,timestamp with time zone,YES,null
checkout_sessions,created_at,timestamp with time zone,YES,now()
checkout_sessions,updated_at,timestamp with time zone,YES,now()
mp_accounts,id,uuid,NO,gen_random_uuid()
mp_accounts,store_id,uuid,NO,null
mp_accounts,mp_user_id,text,NO,null
mp_accounts,access_token,text,NO,null
mp_accounts,refresh_token,text,NO,null
mp_accounts,token_expires_at,timestamp with time zone,NO,null
mp_accounts,scope,text,YES,null
mp_accounts,public_key,text,YES,null
mp_accounts,status,text,NO,'connected'::text
mp_accounts,connected_at,timestamp with time zone,YES,now()
mp_accounts,revoked_at,timestamp with time zone,YES,null
mp_accounts,raw,jsonb,YES,null
mp_accounts,created_at,timestamp with time zone,YES,now()
mp_accounts,updated_at,timestamp with time zone,YES,now()
order_items,id,uuid,NO,gen_random_uuid()
order_items,order_id,uuid,YES,null
order_items,product_id,uuid,YES,null
order_items,quantity,integer,NO,1
order_items,unit_price,numeric,NO,null
order_items,total_price,numeric,NO,null
order_items,selected_options,jsonb,YES,null
order_items,created_at,timestamp with time zone,YES,now()
orders,id,uuid,NO,gen_random_uuid()
orders,store_id,uuid,YES,null
orders,customer_name,character varying,NO,null
orders,customer_phone,character varying,NO,null
orders,customer_email,character varying,YES,null
orders,delivery_type,USER-DEFINED,NO,null
orders,delivery_address,text,YES,null
orders,delivery_notes,text,YES,null
orders,subtotal,numeric,NO,null
orders,delivery_fee,numeric,YES,0
orders,total,numeric,NO,null
orders,status,USER-DEFINED,YES,'pending'::order_status
orders,payment_status,USER-DEFINED,YES,'pending'::payment_status
orders,payment_id,character varying,YES,null
orders,estimated_delivery_time,integer,YES,null
orders,notes,text,YES,null
orders,created_at,timestamp with time zone,YES,now()
orders,updated_at,timestamp with time zone,YES,now()
orders,store_notified_at,timestamp with time zone,YES,null
orders,customer_notified_at,timestamp with time zone,YES,null
orders,notification_status,jsonb,YES,'{}'::jsonb
payments,id,uuid,NO,gen_random_uuid()
payments,order_id,uuid,NO,null
payments,store_id,uuid,NO,null
payments,provider,USER-DEFINED,YES,null
payments,provider_payment_id,text,YES,null
payments,preference_id,text,YES,null
payments,mp_payment_id,text,YES,null
payments,payment_method,text,YES,null
payments,status,text,YES,null
payments,status_detail,text,YES,null
payments,transaction_amount,numeric,YES,null
payments,currency,text,YES,null
payments,payer_email,text,YES,null
payments,collector_id,text,YES,null
payments,source_type,text,YES,null
payments,metadata,jsonb,YES,null
payments,raw,jsonb,YES,null
payments,created_at,timestamp with time zone,YES,now()
payments,updated_at,timestamp with time zone,YES,now()
product_option_values,id,uuid,NO,gen_random_uuid()
product_option_values,option_id,uuid,YES,null
product_option_values,name,character varying,NO,null
product_option_values,price_modifier,numeric,YES,0
product_option_values,sort_order,integer,YES,0
product_option_values,created_at,timestamp with time zone,YES,now()
product_options,id,uuid,NO,gen_random_uuid()
product_options,product_id,uuid,YES,null
product_options,name,character varying,NO,null
product_options,type,character varying,YES,'single'::character varying
product_options,is_required,boolean,YES,false
product_options,created_at,timestamp with time zone,YES,now()
products,id,uuid,NO,gen_random_uuid()
products,store_id,uuid,YES,null
products,category_id,uuid,YES,null
products,name,character varying,NO,null
products,description,text,YES,null
products,price,numeric,NO,null
products,sale_price,numeric,YES,null
products,image_url,text,YES,null
products,is_available,boolean,YES,true
products,sort_order,integer,YES,0
products,created_at,timestamp with time zone,YES,now()
products,updated_at,timestamp with time zone,YES,now()
products,gallery_images,ARRAY,YES,null
push_subscriptions,id,uuid,NO,gen_random_uuid()
push_subscriptions,store_id,uuid,NO,null
push_subscriptions,endpoint,text,NO,null
push_subscriptions,p256dh_key,text,NO,null
push_subscriptions,auth_key,text,NO,null
push_subscriptions,created_at,timestamp with time zone,YES,now()
push_subscriptions,updated_at,timestamp with time zone,YES,now()
store_settings,id,uuid,NO,gen_random_uuid()
store_settings,store_id,uuid,YES,null
store_settings,whatsapp_number,character varying,YES,null
store_settings,mercadopago_access_token,text,YES,null
store_settings,mercadopago_public_key,text,YES,null
store_settings,business_hours,jsonb,YES,null
store_settings,is_open,boolean,YES,true
store_settings,welcome_message,text,YES,null
store_settings,order_confirmation_message,text,YES,null
store_settings,created_at,timestamp with time zone,YES,now()
store_settings,updated_at,timestamp with time zone,YES,now()
store_settings,whatsapp_notifications_enabled,boolean,YES,false
store_settings,whatsapp_message,text,YES,'Gracias por tu pedido. Te contactaremos pronto para confirmar los detalles.'::text
store_settings,wa_phone_number_id,character varying,YES,null
store_settings,wa_business_account_id,character varying,YES,null
store_settings,wa_access_token,text,YES,null
store_settings,wa_metadata,jsonb,YES,null
store_settings,wa_api_version,text,YES,'v20.0'::text
stores,id,uuid,NO,gen_random_uuid()
stores,owner_id,uuid,YES,null
stores,name,character varying,NO,null
stores,slug,character varying,NO,null
stores,description,text,YES,null
stores,logo_url,text,YES,null
stores,header_image_url,text,YES,null
stores,primary_color,character varying,YES,'#2D5016'::character varying
stores,phone,character varying,YES,null
stores,email,character varying,YES,null
stores,address,text,YES,null
stores,delivery_radius,integer,YES,5
stores,delivery_fee,numeric,YES,0
stores,min_order_amount,numeric,YES,0
stores,is_active,boolean,YES,true
stores,created_at,timestamp with time zone,YES,now()
stores,updated_at,timestamp with time zone,YES,now()
stores,whatsapp_message,text,YES,'Gracias por tu pedido. Te contactaremos pronto para confirmar los detalles.'::text
stores,extended_description,text,YES,null
stores,gallery_images,jsonb,YES,'[]'::jsonb
stores,whatsapp_phone,character varying,YES,null
stores,subscription_id,uuid,YES,null
stores,subscription_status,USER-DEFINED,YES,'trial'::subscription_status
stores,subscription_expires_at,timestamp without time zone,YES,null
stores,trial_used,boolean,YES,false
stores,trial_ends_at,timestamp without time zone,YES,null
stores,is_onboarded,boolean,YES,false
stores,subdomain,text,YES,null
stores,is_configured,boolean,YES,false
subscription_payments,id,uuid,NO,gen_random_uuid()
subscription_payments,subscription_id,uuid,YES,null
subscription_payments,plan_id,uuid,YES,null
subscription_payments,amount,numeric,NO,null
subscription_payments,currency,character varying,YES,'ARS'::character varying
subscription_payments,status,USER-DEFINED,NO,'pending'::subscription_payment_status
subscription_payments,mercadopago_payment_id,character varying,YES,null
subscription_payments,mercadopago_preference_id,character varying,YES,null
subscription_payments,mercadopago_merchant_order_id,character varying,YES,null
subscription_payments,payment_date,timestamp without time zone,YES,null
subscription_payments,due_date,timestamp without time zone,YES,null
subscription_payments,processed_at,timestamp without time zone,YES,null
subscription_payments,period_start,timestamp without time zone,YES,null
subscription_payments,period_end,timestamp without time zone,YES,null
subscription_payments,payment_method,character varying,YES,null
subscription_payments,payer_email,character varying,YES,null
subscription_payments,external_reference,character varying,YES,null
subscription_payments,metadata,jsonb,YES,'{}'::jsonb
subscription_payments,created_at,timestamp without time zone,YES,now()
subscription_payments,updated_at,timestamp without time zone,YES,now()
subscription_payments,billing_period_start,timestamp without time zone,YES,null
subscription_payments,billing_period_end,timestamp without time zone,YES,null
subscription_plans,id,uuid,NO,gen_random_uuid()
subscription_plans,name,character varying,NO,null
subscription_plans,display_name,character varying,NO,null
subscription_plans,description,text,YES,null
subscription_plans,price,numeric,NO,0
subscription_plans,currency,character varying,YES,'ARS'::character varying
subscription_plans,frequency,USER-DEFINED,NO,null
subscription_plans,duration_days,integer,NO,null
subscription_plans,is_active,boolean,YES,true
subscription_plans,features,jsonb,YES,'[]'::jsonb
subscription_plans,max_products,integer,YES,null
subscription_plans,max_orders_per_month,integer,YES,null
subscription_plans,priority,integer,YES,0
subscription_plans,created_at,timestamp without time zone,YES,now()
subscription_plans,updated_at,timestamp without time zone,YES,now()
subscription_plans,discount,real,YES,null
subscription_usage,id,uuid,NO,gen_random_uuid()
subscription_usage,subscription_id,uuid,NO,null
subscription_usage,period_start,timestamp without time zone,NO,null
subscription_usage,period_end,timestamp without time zone,NO,null
subscription_usage,products_count,integer,YES,0
subscription_usage,orders_count,integer,YES,0
subscription_usage,api_calls_count,integer,YES,0
subscription_usage,storage_used_mb,integer,YES,0
subscription_usage,metadata,jsonb,YES,'{}'::jsonb
subscription_usage,created_at,timestamp without time zone,YES,now()
subscription_usage,updated_at,timestamp without time zone,YES,now()
subscriptions,id,uuid,NO,gen_random_uuid()
subscriptions,store_id,uuid,YES,null
subscriptions,plan_id,uuid,YES,null
subscriptions,status,USER-DEFINED,YES,'trial'::subscription_status
subscriptions,trial_started_at,timestamp without time zone,YES,null
subscriptions,trial_ends_at,timestamp without time zone,YES,null
subscriptions,paid_started_at,timestamp without time zone,YES,null
subscriptions,paid_ends_at,timestamp without time zone,YES,null
subscriptions,mercadopago_subscription_id,character varying,YES,null
subscriptions,mercadopago_preapproval_id,character varying,YES,null
subscriptions,auto_renewal,boolean,YES,true
subscriptions,cancelled_at,timestamp without time zone,YES,null
subscriptions,cancellation_reason,text,YES,null
subscriptions,metadata,jsonb,YES,'{}'::jsonb
subscriptions,created_at,timestamp without time zone,YES,now()
subscriptions,updated_at,timestamp without time zone,YES,now()
subscriptions,next_billing_date,timestamp without time zone,YES,null
subscriptions,last_payment_date,timestamp without time zone,YES,null
subscriptions,user_id,uuid,YES,null
subscriptions,plan_name,character varying,YES,null
user_subscriptions,id,uuid,NO,gen_random_uuid()
user_subscriptions,created_at,timestamp with time zone,NO,now()
user_subscriptions,updated_at,timestamp with time zone,NO,now()
user_subscriptions,user_id,uuid,NO,null
user_subscriptions,mercadopago_subscription_id,text,YES,null
user_subscriptions,mercadopago_preapproval_id,text,YES,null
user_subscriptions,mercadopago_payer_id,text,YES,null
user_subscriptions,status,text,NO,'pending'::text
user_subscriptions,plan_id,text,NO,'premium'::text
user_subscriptions,price,numeric,NO,48900.00
user_subscriptions,currency,text,NO,'ARS'::text
user_subscriptions,trial_start_date,timestamp with time zone,YES,null
user_subscriptions,trial_end_date,timestamp with time zone,YES,null
user_subscriptions,subscription_start_date,timestamp with time zone,YES,null
user_subscriptions,next_payment_date,timestamp with time zone,YES,null
user_subscriptions,cancelled_at,timestamp with time zone,YES,null
user_subscriptions,auto_renewal,boolean,YES,true
user_subscriptions,payment_method_id,text,YES,null
whatsapp_message_queue,id,uuid,NO,gen_random_uuid()
whatsapp_message_queue,job_id,text,NO,null
whatsapp_message_queue,store_id,uuid,NO,null
whatsapp_message_queue,order_id,uuid,YES,null
whatsapp_message_queue,message_type,text,NO,null
whatsapp_message_queue,recipient_phone,text,NO,null
whatsapp_message_queue,message_content,text,NO,null
whatsapp_message_queue,template_data,jsonb,YES,null
whatsapp_message_queue,status,text,NO,'pending'::text
whatsapp_message_queue,attempts,integer,YES,0
whatsapp_message_queue,max_attempts,integer,YES,3
whatsapp_message_queue,scheduled_at,timestamp with time zone,YES,now()
whatsapp_message_queue,processed_at,timestamp with time zone,YES,null
whatsapp_message_queue,failed_at,timestamp with time zone,YES,null
whatsapp_message_queue,error_message,text,YES,null
whatsapp_message_queue,created_at,timestamp with time zone,YES,now()
whatsapp_message_queue,updated_at,timestamp with time zone,YES,now()
whatsapp_webhook_events,id,uuid,NO,gen_random_uuid()
whatsapp_webhook_events,store_id,uuid,YES,null
whatsapp_webhook_events,phone_number_id,text,YES,null
whatsapp_webhook_events,entry_id,text,YES,null
whatsapp_webhook_events,change_field,text,YES,null
whatsapp_webhook_events,payload,jsonb,NO,null
whatsapp_webhook_events,processed,boolean,YES,false
whatsapp_webhook_events,created_at,timestamp with time zone,YES,now()
